Class,class_num,Species,CHM,GreenVariance,GreenSkewness,GreenEntropy,GreenBand2,BlueBand3,RedBand1
shrub,1,sagebrush,-41.4444847,5.3927407,0.7034662,5.3927407,167,169,157
shrub,1,sagebrush,-20.1944408,5.3983617,-0.5502896,5.3983617,177,171,172
shrub,1,sagebrush,-4.1180406,5.3381305,0.133108,5.3381305,68,69,64
shrub,1,sagebrush,-54.3899231,5.3612604,1.2021003,5.3612604,64,66,62
shrub,1,sagebrush,-14.2885876,5.3726363,0.1350458,5.3726363,161,140,156
shrub,1,sagebrush,-5.7534666,5.3840327,0.0555481,5.3840327,148,145,145
shrub,1,sagebrush,-27.7258873,5.4069281,-0.0268142,5.4069281,197,192,195
shrub,1,sagebrush,-3.3390024,5.3851399,-0.2297536,5.3851399,161,166,158
shrub,1,sagebrush,-27.1458321,5.3931785,-1.1656697,5.3931785,190,171,182
shrub,1,sagebrush,-29.0413399,5.2815976,0.5550051,5.2815976,66,62,65
shrub,1,sagebrush,-20.8405418,5.3757052,-0.1863766,5.3757052,170,178,163
shrub,1,sagebrush,-46.6994629,5.3397784,0.1260975,5.3397784,86,82,87
shrub,1,sagebrush,-29.6566086,5.4085693,-0.341555,5.4085693,179,156,171
shrub,1,sagebrush,-47.1084023,5.3888788,-0.7768014,5.3888788,137,127,134
shrub,1,sagebrush,-33.4905739,5.3991451,-0.6211888,5.3991451,154,135,146
shrub,1,sagebrush,-11.6904812,5.3591781,-0.5771398,5.3591781,199,181,192
shrub,1,sagebrush,-17.1803455,5.3268838,0.915159,5.3268838,43,47,42
shrub,1,sagebrush,57.6765442,5.3778849,0.0457967,5.3778849,131,111,119
shrub,1,sagebrush,-34.9553413,5.4021082,-0.4778835,5.4021082,153,136,146
shrub,1,sagebrush,-31.9997768,5.3542337,0.7547907,5.3542337,85,84,81
shrub,1,sagebrush,5.6075134,5.3968434,-0.5111845,5.3968434,180,159,172
shrub,1,sagebrush,0.318092,5.3333821,-0.0688427,5.3333821,115,124,112
shrub,1,sagebrush,-47.2210541,5.3569813,0.2518993,5.3569813,91,85,86
shrub,1,sagebrush,-33.7637253,5.3984647,-0.6840304,5.3984647,170,146,162
shrub,1,sagebrush,-3.9260104,5.3646798,-0.4483086,5.3646798,95,78,85
shrub,1,sagebrush,-1.3632329,5.3907275,0.0288386,5.3907275,133,130,131
shrub,1,sagebrush,-22.5557766,5.3390303,0.1285214,5.3390303,61,49,55
shrub,1,sagebrush,-3.2362173,5.3782425,-0.2235067,5.3782425,96,91,95
shrub,1,sagebrush,44.0415649,5.3348579,-0.1235012,5.3348579,153,139,147
shrub,1,sagebrush,-20.8455124,5.3869495,-0.4454608,5.3869495,162,163,163
shrub,1,sagebrush,7.9248161,5.3739543,-0.3141152,5.3739543,86,81,85
shrub,1,sagebrush,83.2483749,5.3689032,0.2920602,5.3689032,191,171,179
shrub,1,sagebrush,-7.4074278,5.3688574,-0.7620727,5.3688574,171,154,166
shrub,1,sagebrush,11.6038828,5.374588,0.1347473,5.374588,111,107,109
shrub,1,sagebrush,11.6184731,5.3124185,1.0659796,5.3124185,57,55,57
shrub,1,sagebrush,-31.6303883,5.4076347,-0.4370096,5.4076347,180,152,174
shrub,1,sagebrush,-11.8863125,5.3970327,-0.1526247,5.3970327,124,127,120
shrub,1,sagebrush,-27.8620872,5.3435998,0.7898452,5.3435998,118,118,118
shrub,1,sagebrush,-0.0174135,5.3665218,0.1410962,5.3665218,109,114,110
shrub,1,sagebrush,-18.3840313,5.3317556,0.0268304,5.3317556,96,95,90
shrub,1,sagebrush,-4.8364172,5.3522496,0.393818,5.3522496,56,45,54
shrub,1,sagebrush,53.7731056,5.3360949,-0.3408622,5.3360949,175,162,169
shrub,1,sagebrush,-17.882515,5.3602371,0.2230738,5.3602371,68,67,66
shrub,1,sagebrush,-8.3518114,5.3899312,-0.043926,5.3899312,110,90,102
shrub,1,sagebrush,0.102003,5.3536091,-0.1935118,5.3536091,101,95,96
shrub,1,sagebrush,7.1103725,5.3956728,-0.3317929,5.3956728,127,106,124
shrub,1,sagebrush,-16.8962536,5.3901386,-0.1929628,5.3901386,129,124,126
shrub,1,sagebrush,-25.6517735,5.3345151,0.4018072,5.3345151,80,65,75
shrub,1,sagebrush,9.9761877,5.3525009,0.0241102,5.3525009,166,168,163
shrub,1,sagebrush,-46.0653038,5.4076157,-0.8478492,5.4076157,152,135,148
shrub,1,sagebrush,-28.856184,5.2576375,0.8977337,5.2576375,153,148,151
shrub,1,sagebrush,24.4188366,5.3421612,0.2886199,5.3421612,113,112,105
shrub,1,sagebrush,0.864044,5.3591161,-0.491385,5.3591161,133,131,127
shrub,1,sagebrush,-8.2425261,5.3214397,0.5839253,5.3214397,125,122,123
shrub,1,sagebrush,-18.9237671,5.357471,0.152442,5.357471,67,62,66
shrub,1,sagebrush,-7.0722284,5.336803,-0.1987212,5.336803,174,161,172
shrub,1,sagebrush,65.3504791,5.3577523,0.4766431,5.3577523,81,74,73
shrub,1,sagebrush,4.9294896,5.3742976,0.0370997,5.3742976,86,79,83
shrub,1,sagebrush,2.7967424,5.3624477,-0.343465,5.3624477,196,173,189
shrub,1,sagebrush,-10.2616358,5.3282461,-0.0035604,5.3282461,106,105,104
shrub,1,sagebrush,-4.3107657,5.382165,-0.3417682,5.382165,185,168,176
shrub,1,sagebrush,-22.4742641,5.4051456,-0.9840028,5.4051456,145,126,139
shrub,1,sagebrush,-25.0730686,5.3603444,-0.2410552,5.3603444,98,83,94
shrub,1,sagebrush,0.7463445,5.3250132,0.7761919,5.3250132,60,59,50
shrub,1,sagebrush,-25.4354763,5.3222909,0.0249331,5.3222909,60,51,57
shrub,1,sagebrush,-25.0777512,5.3368287,0.1586281,5.3368287,158,143,154
shrub,1,sagebrush,-3.9100726,5.3428664,0.5372704,5.3428664,96,99,91
shrub,1,sagebrush,-20.3629341,5.3766508,-0.3886854,5.3766508,79,63,75
shrub,1,sagebrush,-17.7898235,5.3654838,0.1492677,5.3654838,175,174,173
shrub,1,sagebrush,-8.9662638,5.3546157,-0.1449663,5.3546157,75,61,69
shrub,1,sagebrush,-16.5082111,5.3921695,-0.146168,5.3921695,149,144,140
shrub,1,sagebrush,-43.5211372,5.3676057,0.1446023,5.3676057,116,89,111
shrub,1,sagebrush,-6.8944426,5.3377423,-0.0091414,5.3377423,118,107,115
shrub,1,sagebrush,-6.958549,5.3157616,0.7672643,5.3157616,79,78,73
shrub,1,sagebrush,-29.4434547,5.3759875,0.0500624,5.3759875,61,56,62
shrub,1,sagebrush,-9.220789,5.3378167,-0.3472057,5.3378167,100,112,98
shrub,1,sagebrush,-26.2647552,5.392745,-0.5869249,5.392745,154,129,146
shrub,1,sagebrush,-27.6519699,5.3823195,-0.1074077,5.3823195,156,133,148
shrub,1,sagebrush,2.4021094,5.3688407,-0.2426109,5.3688407,187,189,177
shrub,1,sagebrush,-14.1758909,5.2784185,0.1253219,5.2784185,37,37,37
shrub,1,sagebrush,-11.8775396,5.3594842,0.337617,5.3594842,122,118,123
shrub,1,sagebrush,-2.438272,5.394887,-0.3288162,5.394887,186,182,183
shrub,1,sagebrush,-10.1580067,5.4103117,-0.2933449,5.4103117,169,144,163
shrub,1,sagebrush,0.0963185,5.3857388,0.182496,5.3857388,176,178,175
shrub,1,sagebrush,35.1489868,5.3287754,0.1218192,5.3287754,168,168,167
shrub,1,sagebrush,7.0630722,5.3712192,0.0901176,5.3712192,163,159,162
shrub,1,sagebrush,-5.4533525,5.3739691,-0.3254437,5.3739691,97,86,91
shrub,1,sagebrush,-13.3971806,5.3312244,-0.3404905,5.3312244,122,124,121
shrub,1,sagebrush,-11.503808,5.3859782,-0.346999,5.3859782,169,173,164
shrub,1,sagebrush,-3.7277327,5.407742,-0.333894,5.407742,166,156,163
shrub,1,sagebrush,-22.7365742,5.3952346,-0.7533923,5.3952346,179,174,177
shrub,1,sagebrush,-38.3365898,5.3460011,1.4424266,5.3460011,36,35,32
shrub,1,sagebrush,-48.082943,5.3575149,-0.4395002,5.3575149,78,70,76
shrub,1,sagebrush,15.5137138,5.2555275,1.3518593,5.2555275,59,58,54
shrub,1,sagebrush,-8.4090328,5.3959804,-0.1687339,5.3959804,147,157,140
shrub,1,sagebrush,-32.9989204,5.3528237,-0.0924803,5.3528237,80,73,76
shrub,1,sagebrush,-24.6757641,5.359272,-0.0440833,5.359272,116,110,105
shrub,1,sagebrush,59.9540291,5.3598242,0.3805731,5.3598242,89,83,88
shrub,1,sagebrush,-21.0810547,5.3291793,-0.3250639,5.3291793,141,140,137
shrub,1,sagebrush,-8.3073559,5.3814063,-1.2306991,5.3814063,188,168,183
shrub,1,sagebrush,-17.8976307,5.3029165,0.6963022,5.3029165,43,47,42
shrub,1,sagebrush,-2.2013731,5.3178902,0.2917768,5.3178902,47,50,43
shrub,1,sagebrush,1.1738633,5.4045582,-0.3038223,5.4045582,164,144,159
shrub,1,sagebrush,36.7495689,5.3601341,0.0638372,5.3601341,100,85,92
shrub,1,sagebrush,-9.9382286,5.3798575,-0.0870648,5.3798575,97,75,92
shrub,1,sagebrush,78.3315964,5.3565035,-0.189081,5.3565035,75,54,73
shrub,1,sagebrush,-48.8278198,5.3786683,0.0159658,5.3786683,128,121,131
